,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Origem,Matrícula,Valor Fixo,Série
693,2006,Classe 1,Diesel,Usados,8075636133,Peugeot,109 cv,260 000 km,Sedan,Manual,Nacional,,,
694,1959,,Gasolina,Usados,8072943145,Austin Healey,43 cv,9 999 km,Cabrio,Manual,,,Sim,
695,1994,,Gasolina,Usados,8075636231,Honda,75 cv,190 000 km,Utilitário,,,,,
696,2011,,Diesel,Usados,8075636950,Volvo,115 cv,177 000 km,Carrinha,Manual,,,Sim,
697,2019,,Diesel,Usados,8064597200,Skoda,115 cv,16 000 km,Carrinha,Manual,Nacional,71-XE-17,,
698,2010,Classe 1,Diesel,Usados,8075610023,BMW,306 cv,93 km,Sedan,Automática,Nacional,60-IV-20,Sim,Série 7
699,2011,Classe 1,Diesel,Usados,8073085290,Chevrolet,163 cv,150 000 km,Sedan,Manual,Nacional,,Sim,
700,2010,Classe 1,Diesel,Usados,8072711826,Mercedes-Benz,211 cv,236 000 km,Carrinha,Automática,,,,Classe E
701,2005,Classe 1,Gasolina,Usados,8074283135,Honda,78 cv,212 000 km,Citadino,Manual,Nacional,,,
702,2019,,Gasolina,Usados,8072388985,DS,130 cv,2 251 km,SUV / TT,Automática,Nacional,02-ZD-67,Sim,
703,2011,Classe 1,Gasolina,Usados,8075636593,Peugeot,95 cv,57 000 km,Carrinha,Manual,Nacional,,,
704,2013,,Diesel,Usados,8075636259,Volvo,115 cv,139 000 km,Utilitário,Manual,,,Sim,
705,2000,,Gasolina,Usados,8075636521,Renault,70 cv,180 000 km,Citadino,,,,,
706,2016,,Diesel,Usados,8064597221,VW,150 cv,155 000 km,Carrinha,Manual,Nacional,22-RG-82,Sim,
707,2000,Classe 1,Gasolina,Usados,8071135662,Volvo,163 cv,161 352 km,Cabrio,Manual,Importado,,Sim,
708,2007,,Gasolina,Usados,8043562444,MINI,130 cv,80 000 km,Citadino,Manual,,,Sim,
709,2019,,Diesel,Usados,8064863935,SEAT,150 cv,26 500 km,Monovolume,Automática,Nacional,,Sim,
710,2019,,Gasolina,Usados,8072388982,DS,130 cv,2 043 km,SUV / TT,Automática,Nacional,28-ZB-86,Sim,
711,2019,Classe 1,Gasolina,Usados,8069250956,Fiat,69 cv,9 200 km,Pequeno citadino,Manual,Nacional,45-XF-09,,
712,2011,Classe 1,Diesel,Usados,8067815461,Fiat,90 cv,159 000 km,Monovolume,Manual,Nacional,,,
713,2009,Classe 1,Diesel,Usados,8074324975,Citroën,110 cv,173 098 km,Monovolume,Automática,Nacional,,Sim,
714,2018,Classe 1,Diesel,Usados,8056512043,Renault,90 cv,31 372 km,SUV / TT,Manual,Nacional,23-UX-05,,
715,2015,Classe 1,Diesel,Usados,8066372087,Renault,110 cv,115 000 km,SUV / TT,Automática,,,,
716,2019,,Diesel,Usados,8072358901,Citroën,130 cv,20 000 km,Monovolume,Automática,Nacional,37-XA-03,Sim,
717,2019,,Gasolina,Usados,8064597208,Skoda,116 cv,7 900 km,Carrinha,Manual,Nacional,72-XU-64,Sim,
718,2019,Classe 1,Gasolina,Usados,8038366077,Peugeot,72 cv,14 000 km,Pequeno citadino,Automática,Nacional,,Sim,
719,2015,,Diesel,Usados,8057880087,VW,184 cv,128 000 km,Utilitário,Manual,Importado,84-ZB-23,,
720,2009,,Diesel,Usados,8075632291,Ford,70 cv,201 000 km,Citadino,,,,,
721,2014,,Diesel,Usados,8034333953,BMW,143 cv,39 976 km,Utilitário,Manual,,,Sim,Série 1
722,2018,,Diesel,Usados,8023993446,Fiat,95 cv,39 000 km,SUV / TT,Manual,Nacional,,,
723,2010,Classe 1,Diesel,Usados,8074323003,Peugeot,110 cv,200 000 km,Carrinha,,,,,
724,2004,Classe 1,Diesel,Usados,8064623569,VW,140 cv,199 750 km,Utilitário,Manual,Nacional,,,
725,2017,Classe 1,Diesel,Usados,8055003546,Fiat,95 cv,55 000 km,Carrinha,Manual,Nacional,,Sim,
726,2015,,Híbrido (Diesel),Usados,8075632879,Volvo,290 cv,179 000 km,Carrinha,,,,,
727,2005,Classe 1,Diesel,Usados,8075592204,BMW,272 cv,161 000 km,Sedan,Automática,Nacional,,Sim,
728,2018,Classe 1,Diesel,Usados,8053812741,Renault,90 cv,59 000 km,Citadino,Manual,Nacional,,Sim,
729,2016,,Gasolina,Usados,8066063279,BMW,109 cv,100 000 km,Utilitário,Manual,,15-ZP-23,Sim,Série 1
730,2004,Classe 1,Diesel,Usados,8064623569,VW,140 cv,199 750 km,Utilitário,Manual,Nacional,,,
731,2009,Classe 1,Diesel,Usados,8075635177,BMW,177 cv,23 000 km,Carrinha,Manual,,,Sim,Série 3
732,2017,,Diesel,Usados,8074230568,Land Rover,150 cv,25 000 km,SUV / TT,,,,,
733,2019,,Diesel,Usados,8057875693,Volvo,190 cv,16 000 km,Carrinha,,,,Sim,
734,2001,,Diesel,Usados,8075631527,Jeep,140 cv,154 000 km,SUV / TT,,,,,
735,2019,,Diesel,Usados,8055002782,Mercedes-Benz,136 cv,25 354 km,SUV / TT,Automática,,72-VX-25,Sim,Classe GLA
736,2015,Classe 1,Diesel,Usados,8075635503,Volvo,115 cv,118 000 km,Utilitário,Manual,Nacional,,Sim,
737,2016,Classe 1,Diesel,Usados,8075635457,Volvo,150 cv,185 000 km,Carrinha,Manual,Nacional,00-00-00,,
738,2015,Classe 1,Diesel,Usados,8074279001,VW,110 cv,108 000 km,Carrinha,Manual,Nacional,,Sim,
739,2015,Classe 1,Diesel,Usados,8074279001,VW,110 cv,108 000 km,Carrinha,Manual,Nacional,,Sim,
740,2018,Classe 1,Diesel,Usados,8047906395,Opel,134 cv,42 900 km,Monovolume,Manual,Nacional,,Sim,
741,2018,Classe 1,Gasolina,Usados,8042036118,Opel,70 cv,17 300 km,Citadino,Manual,Nacional,,Sim,
742,2016,Classe 1,Diesel,Usados,8056511261,Toyota,90 cv,93 900 km,Utilitário,Manual,Importado,,,
743,2017,,Diesel,Usados,8075633847,Toyota,112 cv,65 000 km,Carrinha,,,,Sim,
744,2011,Classe 1,Gasolina,Usados,8075592595,Audi,86 cv,170 000 km,Citadino,Manual,Nacional,,,
745,2007,Classe 1,Diesel,Usados,8075635778,Renault,105 cv,238 000 km,Monovolume,Manual,Nacional,,,
746,2017,Classe 1,Diesel,Usados,8056510301,Fiat,95 cv,71 285 km,SUV / TT,Manual,Nacional,23-TG-77,,
747,2018,Classe 1,Diesel,Usados,8064862974,Volvo,120 cv,18 970 km,Carrinha,Manual,Nacional,22-UO-36,,
748,2015,,Diesel,Usados,8063381624,SEAT,110 cv,147 775 km,Carrinha,Manual,Nacional,05-QF-67,,
749,2017,,Diesel,Usados,8050401945,Renault,130 cv,49 000 km,Monovolume,Manual,Nacional,,Sim,
750,1999,,Diesel,Usados,8075635370,Land Rover,100 cv,180 000 km,SUV / TT,,,,,
751,2001,Classe 1,Gasolina,Usados,8075630637,Toyota,103 cv,141 000 km,Cabrio,Manual,Nacional,,Sim,
752,2016,,Gasolina,Usados,8066063279,BMW,109 cv,100 000 km,Utilitário,Manual,,15-ZP-23,Sim,Série 1
753,2018,Classe 1,Diesel,Usados,8075592130,Renault,110 cv,54 000 km,Carrinha,Manual,Nacional,,,
754,2018,,Diesel,Usados,8023993446,Fiat,95 cv,39 000 km,SUV / TT,Manual,Nacional,,,
755,2014,Classe 1,Diesel,Usados,8075592730,Peugeot,115 cv,166 000 km,Utilitário,Manual,Nacional,,,
756,2002,Classe 1,Gasolina,Usados,8053810975,Jaguar,395 cv,82 625 km,Cabrio,Automática,Nacional,,Sim,
757,2015,,Diesel,Usados,8063383351,SEAT,110 cv,146 750 km,Carrinha,Manual,Nacional,76-PS-12,,
758,2016,Classe 1,Diesel,Usados,8074306654,VW,150 cv,29 000 km,Sedan,Manual,Nacional,,,
759,2015,Classe 1,Diesel,Usados,8055353026,Mercedes-Benz,110 cv,149 000 km,Sedan,Manual,Importado,,,Classe CLA
760,2013,Classe 1,Diesel,Usados,8073040204,Volvo,115 cv,189 000 km,Carrinha,Manual,,,Sim,
761,2004,Classe 1,Diesel,Usados,8064623569,VW,140 cv,199 750 km,Utilitário,Manual,Nacional,,,
762,2015,Classe 1,Diesel,Usados,8071215761,BMW,177 cv,126 000 km,Carrinha,Automática,Nacional,,,Série 5
763,2019,,Gasolina,Usados,8074432200,Porsche,245 cv,7 000 km,SUV / TT,Automática,,00-00-00,Sim,
764,2016,Classe 1,Gasolina,Usados,8072993097,Mitsubishi,80 cv,44 850 km,Citadino,Manual,Nacional,,,
765,2019,,Gasolina,Usados,8073125691,Citroën,110 cv,3 500 km,Sedan,Manual,Nacional,26-ZL-00,Sim,
766,2019,,Gasolina,Usados,8075633332,Audi,116 cv,15 km,Citadino,Manual,Nacional,52-ZR-61,,
767,2014,Classe 2,Diesel,Usados,8073095128,BMW,258 cv,77 000 km,SUV / TT,Automática,Nacional,,Sim,Série X
768,2000,Classe 1,Diesel,Usados,8075634381,Audi,150 cv,441 000 km,Carrinha,Manual,Nacional,,Sim,
769,2011,Classe 1,Diesel,Usados,8059730306,MINI,143 cv,172 000 km,Citadino,Manual,,,Sim,
770,2015,Classe 1,Diesel,Usados,8069334475,Peugeot,120 cv,116 000 km,Carrinha,Manual,Importado,,Sim,
771,2004,Classe 1,Diesel,Usados,8064623569,VW,140 cv,199 750 km,Utilitário,Manual,Nacional,,,
772,2019,,Gasolina,Usados,8074359010,Citroën,82 cv,13 652 km,Sedan,Manual,Nacional,26-XL-06,Sim,
773,2019,,Gasolina,Usados,8073125682,Citroën,72 cv,17 747 km,Pequeno citadino,Manual,Nacional,24-XL-60,Sim,
774,2005,Classe 1,Diesel,Usados,8075634497,Opel,150 cv,257 000 km,Utilitário,Manual,Nacional,,,
775,2016,Classe 1,Diesel,Usados,8073113547,VW,110 cv,96 000 km,Carrinha,Manual,Nacional,,Sim,
776,2014,Classe 1,Diesel,Usados,8073040016,Volvo,180 cv,185 000 km,Carrinha,Manual,,,Sim,
777,2014,Classe 1,Diesel,Usados,8075634921,MINI,116 cv,120 000 km,Citadino,Manual,Nacional,,,
778,2015,Classe 1,Diesel,Usados,8071215761,BMW,177 cv,126 000 km,Carrinha,Automática,Nacional,,,Série 5
779,2015,Classe 1,Diesel,Usados,8075634116,Peugeot,120 cv,110 000 km,Carrinha,Manual,,96-ZT-86,Sim,
780,2011,Classe 1,Gasolina,Usados,8075592331,Mitsubishi,95 cv,40 000 km,Citadino,Manual,Nacional,,,
781,2016,Classe 1,Diesel,Usados,8067544944,Peugeot,120 cv,88 000 km,Monovolume,Automática,Importado,,Sim,
782,2015,Classe 2,Diesel,Usados,8050131647,Mercedes-Benz,204 cv,37 979 km,SUV / TT,Automática,,00-00-00,Sim,Classe M
783,2006,Classe 1,Gasolina,Usados,8075633887,Honda,90 cv,224 000 km,Utilitário,Manual,Nacional,,,
784,2017,Classe 1,Gasolina,Usados,8075592645,Peugeot,69 cv,44 000 km,Pequeno citadino,Manual,Nacional,,,
785,2019,,Gasolina,Usados,8074359010,Citroën,82 cv,13 652 km,Sedan,Manual,Nacional,26-XL-06,Sim,
786,2005,Classe 1,Diesel,Usados,8075634657,Renault,130 cv,250 000 km,Carrinha,Manual,Nacional,,,
787,2016,Classe 1,Gasolina,Usados,8074304690,Ford,125 cv,47 000 km,Monovolume,Manual,Nacional,,Sim,
788,2018,,Gasolina,Usados,8075633700,Hyundai,100 cv,26 240 km,Citadino,Manual,Nacional,91-VO-28,Sim,
789,1997,,Gasolina,Usados,8075633790,Opel,40 cv,177 650 km,Citadino,,,,,
790,2018,,Gasolina,Usados,8075633708,Hyundai,100 cv,20 876 km,Citadino,Manual,Nacional,92-VO-06,Sim,
791,2016,Classe 1,Gasolina,Usados,8072993097,Mitsubishi,80 cv,44 850 km,Citadino,Manual,Nacional,,,
792,2012,Classe 1,Gasolina,Usados,8073125489,VW,265 cv,175 000 km,Coupé,Automática,Importado,,Sim,
793,2014,Classe 1,Diesel,Usados,8073113400,MINI,90 cv,78 000 km,Utilitário,Manual,Nacional,,Sim,
794,2019,,Gasolina,Usados,8073126055,Peugeot,82 cv,22 210 km,Citadino,Manual,Nacional,90-VZ-74,Sim,
795,2014,,Diesel,Usados,8064862685,Mercedes-Benz,110 cv,125 000 km,Sedan,Manual,,,,Classe CLA
796,2005,Classe 1,Diesel,Usados,8075634994,Opel,150 cv,300 000 km,Sedan,Manual,Nacional,,Sim,
797,2015,Classe 1,Diesel,Usados,8075592774,BMW,190 cv,75 000 km,Coupé,Manual,Nacional,,,
798,2017,Classe 1,Diesel,Usados,8069238803,BMW,116 cv,26 000 km,Utilitário,Automática,Nacional,,,Série 1
799,2014,,Diesel,Usados,8075592270,BMW,143 cv,97 000 km,SUV / TT,Manual,Nacional,,Sim,
800,2015,Classe 1,Diesel,Usados,8064762727,VW,120 cv,60 736 km,Carrinha,Manual,Nacional,,Sim,
801,2015,Classe 1,Diesel,Usados,8067777927,Ford,120 cv,76 000 km,Carrinha,Manual,Nacional,00-00-00,Sim,
802,2013,Classe 1,Diesel,Usados,8065794601,Mercedes-Benz,258 cv,128 766 km,SUV / TT,Automática,Importado,,,Classe M
803,2019,,Diesel,Usados,8060752323,Mercedes-Benz,245 cv,14 000 km,Coupé,Automática,Nacional,74-XN-34,Sim,Classe C
804,2018,Classe 1,Diesel,Usados,8064008490,BMW,150 cv,33 753 km,Carrinha,Automática,Nacional,20UN69,Sim,Série 3
805,2001,Classe 1,Diesel,Usados,8072862169,VW,130 cv,290 852 km,Carrinha,Manual,,,,
806,2017,Classe 1,Diesel,Usados,8069640932,Mercedes-Benz,136 cv,78 000 km,Carrinha,Manual,Nacional,00-00-00,Sim,
807,2010,Classe 1,Diesel,Usados,8075632669,MINI,112 cv,150 000 km,Citadino,Manual,Nacional,,,
808,2012,,Diesel,Usados,8075632052,BMW,245 cv,155 km,SUV / TT,Automática,,,,Série X
809,2018,Classe 1,Gasolina,Usados,8069634594,Fiat,69 cv,34 189 km,Pequeno citadino,Manual,Nacional,,Sim,
810,2010,Classe 1,Diesel,Usados,8075633197,Ford,90 cv,349 000 km,Carrinha,Manual,Nacional,,Sim,
811,2016,Classe 1,Diesel,Usados,8044087532,Mercedes-Benz,136 cv,157 943 km,Carrinha,Automática,,23-XG-89,Sim,Classe C
812,2018,Classe 1,Diesel,Usados,8064013366,BMW,150 cv,26 173 km,Carrinha,Automática,Nacional,29UQ18,Sim,Série 3
813,2019,,Gasolina,Usados,8075655923,Peugeot,82 cv,1 200 km,Citadino,Manual,,,,
814,2014,,Diesel,Usados,8059036374,BMW,136 cv,81 497 km,Utilitário,Manual,,62-ZE-37,,Série 1
815,2015,Classe 1,Diesel,Usados,8075633215,Peugeot,120 cv,149 000 km,Carrinha,Manual,,,,
816,2009,,Diesel,Usados,8066365011,Renault,110 cv,225 000 km,Carrinha,Manual,Nacional,,,
817,2009,Classe 1,Gasolina,Usados,8053397314,Nissan,115 cv,117 060 km,SUV / TT,Manual,Nacional,,,
818,2010,,Diesel,Usados,8073122804,Nissan,110 cv,74 430 km,SUV / TT,Manual,,73-LC-11,Sim,
819,2004,Classe 1,Diesel,Usados,8072829408,Peugeot,136 cv,350 000 km,Sedan,Manual,Nacional,,,
820,2015,Classe 1,Diesel,Usados,8067777927,Ford,120 cv,76 000 km,Carrinha,Manual,Nacional,00-00-00,Sim,
821,2000,Classe 1,Diesel,Usados,8072884712,BMW,136 cv,380 000 km,Carrinha,Manual,Nacional,,,Série 3
822,2008,Classe 1,Diesel,Usados,8059905599,Mercedes-Benz,170 cv,209 455 km,Sedan,Automática,Nacional,,Sim,Classe C
823,2013,Classe 1,Diesel,Usados,8072831174,Volvo,115 cv,180 000 km,Utilitário,Manual,,,,
824,2016,,Diesel,Usados,8072378233,BMW,190 cv,144 500 km,Sedan,,,,Sim,Série 3
825,2016,Classe 1,Diesel,Usados,8044087532,Mercedes-Benz,136 cv,157 943 km,Carrinha,Automática,,23-XG-89,Sim,Classe C
826,2011,Classe 1,Diesel,Usados,8075631883,Audi,170 cv,264 600 km,Carrinha,Manual,Nacional,,,
827,2011,Classe 1,Diesel,Usados,8072830018,Renault,110 cv,121 000 km,Carrinha,Manual,,,,
828,2013,Classe 1,Gasolina,Usados,8075632428,Ford,178 cv,133 000 km,Sedan,Automática,Importado,,,
829,2015,,Híbrido (Gasolina),Usados,8069770492,Audi,204 cv,57 000 km,Utilitário,Automática,Nacional,,Sim,
830,2019,Classe 1,Diesel,Usados,8069640959,VW,115 cv,16 000 km,Utilitário,Manual,Nacional,00-00-00,Sim,
831,2012,Classe 1,Diesel,Usados,8072944072,Ford,115 cv,91 000 km,Utilitário,Manual,,,,
832,2018,Classe 1,Gasolina,Usados,8064861513,Opel,105 cv,14 882 km,Carrinha,Manual,Nacional,,,
833,2019,,Gasolina,Usados,8075655923,Peugeot,82 cv,1 200 km,Citadino,Manual,,,,
834,2016,Classe 1,Diesel,Usados,8069636662,Mercedes-Benz,204 cv,40 000 km,Coupé,Automática,,,,Classe C
835,2015,Classe 1,Diesel,Usados,8064861906,Ford,120 cv,116 550 km,Carrinha,Manual,Nacional,,,
836,2007,,Diesel,Usados,8066366416,Renault,85 cv,233 000 km,Citadino,Manual,Nacional,,,
837,2016,Classe 1,Diesel,Usados,8072828835,Opel,110 cv,53 000 km,Carrinha,Manual,Nacional,,,
838,2001,,Diesel,Usados,8058156705,Renault,105 cv,236 000 km,Monovolume,Manual,,,,
839,2009,Classe 1,Gasolina,Usados,8053397314,Nissan,115 cv,117 060 km,SUV / TT,Manual,Nacional,,,
840,2018,Classe 1,Diesel,Usados,8059037929,BMW,190 cv,42 082 km,Sedan,Automática,,,,Série 5
841,2015,Classe 1,Diesel,Usados,8064979184,Mercedes-Benz,136 cv,127 000 km,Carrinha,Automática,,00-00-00,Sim,Classe C
842,2018,Classe 1,Diesel,Usados,8075631407,Fiat,120 cv,60 000 km,Carrinha,Manual,Nacional,,Sim,
843,2011,,Diesel,Usados,8075459776,BMW,115 cv,189 820 km,Carrinha,Manual,,,Sim,Série 3
844,2015,Classe 1,Diesel,Usados,8071674940,VW,150 cv,200 000 km,Carrinha,Manual,Nacional,,,
845,2012,,Diesel,Usados,8074036360,Renault,110 cv,147 000 km,Carrinha,,,,,
846,2015,Classe 1,Diesel,Usados,8046422515,Mercedes-Benz,109 cv,106 000 km,SUV / TT,Manual,,,,Classe GLA
847,2003,Classe 1,Gasolina,Usados,8073099233,MG,115 cv,155 000 km,Cabrio,Manual,,,,
848,2019,Classe 1,Gasolina,Usados,8074317369,Opel,83 cv,9 000 km,SUV / TT,Manual,Nacional,00-00-00,Sim,
849,2015,,Híbrido (Diesel),Usados,8075625004,Mercedes-Benz,204 cv,32 700 km,Sedan,,,,,Classe E
850,2001,Classe 1,Diesel,Usados,8072862169,VW,130 cv,290 852 km,Carrinha,Manual,,,,
851,2016,Classe 1,Diesel,Usados,8071826402,Peugeot,120 cv,79 000 km,Carrinha,Automática,,,Sim,
852,2016,,Diesel,Usados,8075630647,Mercedes-Benz,170 cv,82 000 km,Coupé,Automática,,,,Classe C
853,2018,,Híbrido (Gasolina),Usados,8066332508,Toyota,136 cv,37 000 km,Utilitário,Automática,Nacional,13-UI-67,Sim,
854,2007,Classe 2,Diesel,Usados,8075630836,BMW,235 cv,185 000 km,SUV / TT,Automática,,00-00-00,,Série X
855,2006,Classe 1,Diesel,Usados,8075629947,Peugeot,136 cv,133 000 km,Carrinha,Manual,Nacional,,,
856,2016,Classe 1,Diesel,Usados,8065750116,Mercedes-Benz,110 cv,82 000 km,Utilitário,Automática,,,,Classe A
857,2017,,Diesel,Usados,8074036546,Renault,90 cv,108 000 km,Citadino,,,,,
858,2014,Classe 1,Diesel,Usados,8075591026,Peugeot,120 cv,172 000 km,Carrinha,Manual,Importado,00-00-00,Sim,
859,2015,Classe 1,Diesel,Usados,8075630482,BMW,150 cv,172 000 km,Carrinha,Manual,Nacional,,,Série 3
860,2009,Classe 1,Diesel,Usados,8035421518,Audi,170 cv,180 000 km,Sedan,Manual,Nacional,,Sim,
861,2013,,Diesel,Usados,8024027826,Mercedes-Benz,170 cv,106 357 km,Utilitário,Automática,Nacional,54-OA-70,Sim,Classe A
862,2014,,Diesel,Usados,8073090536,Ford,120 cv,205 428 km,Carrinha,Manual,Nacional,67-PG-22,Sim,
863,2014,Classe 1,Diesel,Usados,8067878502,BMW,260 cv,90 000 km,Sedan,Automática,Nacional,,Sim,Série 7
864,2018,Classe 1,Gasolina,Usados,8073120139,SEAT,115 cv,44 772 km,Citadino,Manual,Nacional,,,
865,2016,Classe 1,Diesel,Usados,8071826402,Peugeot,120 cv,79 000 km,Carrinha,Automática,,,Sim,
866,2015,,Híbrido (Diesel),Usados,8075625004,Mercedes-Benz,204 cv,32 700 km,Sedan,,,,,Classe E
867,2015,Classe 1,Híbrido (Gasolina),Usados,8075630810,Toyota,100 cv,35 000 km,Citadino,Automática,,,,
868,2019,Classe 1,Diesel,Usados,8073120542,Opel,110 cv,12 387 km,Sedan,Manual,Nacional,,,
869,2012,Classe 1,Diesel,Usados,8072384295,Dacia,90 cv,186 000 km,Carrinha,Manual,Nacional,,Sim,
870,2011,,Diesel,Usados,8075459776,BMW,115 cv,189 820 km,Carrinha,Manual,,,Sim,Série 3
871,2001,Classe 1,Diesel,Usados,8075631385,Audi,180 cv,220 000 km,Carrinha,Automática,,,,
872,2018,Classe 1,Diesel,Usados,8073120678,Opel,136 cv,11 923 km,Sedan,Manual,Nacional,,,
873,2007,Classe 1,Diesel,Usados,8070962461,Ford,115 cv,246 000 km,Monovolume,Manual,,,,
874,2014,,Diesel,Usados,8052482774,Ford,115 cv,116 475 km,Monovolume,Manual,Nacional,21-PA-10,Sim,
875,2006,Classe 1,Diesel,Usados,8075630789,Smart,41 cv,129 291 km,Citadino,Automática,Nacional,,,
876,2018,Classe 1,Diesel,Usados,8073120119,SEAT,115 cv,55 760 km,Carrinha,Manual,Nacional,,,
877,2017,Classe 1,Gasolina,Usados,8074037200,Peugeot,68 cv,55 000 km,Pequeno citadino,Manual,,,,
878,2018,,Híbrido (Gasolina),Usados,8066332508,Toyota,136 cv,37 000 km,Utilitário,Automática,Nacional,13-UI-67,Sim,
879,2011,Classe 1,Gasolina,Usados,8074298640,SEAT,180 cv,123 000 km,Coupé,Automática,Nacional,00-00-00,Sim,
880,2008,Classe 1,Diesel,Usados,8067341894,BMW,143 cv,174 000 km,Carrinha,Manual,,,,Série 3
881,2015,,Diesel,Usados,8074282421,Renault,90 cv,192 819 km,Carrinha,Manual,Nacional,76-QL-87,Sim,
882,2013,Classe 1,Diesel,Usados,8072926213,Opel,95 cv,203 000 km,Citadino,Manual,Nacional,,,
883,2017,Classe 1,Diesel,Usados,8074539386,Fiat,95 cv,42 000 km,Carrinha,Manual,Nacional,,,
884,2015,,Diesel,Usados,8071080634,Renault,110 cv,189 498 km,Carrinha,Manual,Nacional,18-QC-43,Sim,
885,2012,Classe 1,Gasolina,Usados,8057570751,MINI,120 cv,45 000 km,Coupé,Manual,,,Sim,
886,2002,Classe 1,Diesel,Usados,8059054195,Hyundai,80 cv,250 000 km,Utilitário,Manual,Nacional,,,
887,2014,Classe 1,Diesel,Usados,8075591033,Volvo,114 cv,153 000 km,Utilitário,Manual,Importado,00-00-00,Sim,
888,2010,Classe 1,Diesel,Usados,8073888157,Citroën,95 cv,188 000 km,Citadino,Manual,Nacional,,Sim,
889,2015,Classe 1,Diesel,Usados,8071240038,Opel,110 cv,124 985 km,Carrinha,Manual,,00-00-00,Sim,
890,2014,Classe 1,Diesel,Usados,8071240195,Peugeot,120 cv,206 265 km,Carrinha,Manual,,00-AA-00,Sim,
891,2017,Classe 1,Gasolina,Usados,8071240089,Opel,105 cv,60 527 km,Utilitário,Manual,,00-00-00,Sim,
892,2006,Classe 1,Diesel,Usados,8061706363,Citroën,110 cv,230 000 km,Carrinha,Manual,Nacional,,Sim,
893,2017,Classe 1,Diesel,Usados,8074305806,Renault,110 cv,49 000 km,Carrinha,Automática,Nacional,,,
894,2019,Classe 1,Gasolina,Usados,8075617140,SEAT,115 cv,18 342 km,Citadino,Automática,Nacional,,,
895,2017,,Diesel,Usados,8075630365,Renault,110 cv,83 250 km,Monovolume,Automática,,,Sim,
896,2018,,Diesel,Usados,8072802841,Mercedes-Benz,204 cv,26 000 km,SUV / TT,Automática,,,,Classe GLC
897,2012,,Diesel,Usados,8045996713,Skoda,105 cv,117 898 km,Carrinha,Manual,Nacional,17-NL-01,Sim,
898,2007,Classe 1,Gasolina,Usados,8070286426,Smart,84 cv,128 000 km,Citadino,Automática,Nacional,,Sim,
899,2017,Classe 1,Diesel,Usados,8074539386,Fiat,95 cv,42 000 km,Carrinha,Manual,Nacional,,,
900,2019,,Híbrido (Gasolina),Usados,8069746495,MINI,224 cv,13 669 km,Utilitário,Automática,,,Sim,
901,2017,,Gasolina,Usados,8072876681,Renault,90 cv,30 479 km,Citadino,Manual,Nacional,77-TC-38,,
902,2009,Classe 1,Diesel,Usados,8072721674,Fiat,75 cv,126 000 km,Citadino,Manual,Nacional,,Sim,
903,2018,,Diesel,Usados,8069822625,Nissan,130 cv,59 500 km,SUV / TT,Manual,Nacional,,Sim,
904,2014,,Diesel,Usados,8034033279,Skoda,90 cv,167 317 km,Carrinha,Manual,Nacional,24-OQ-07,Sim,
905,2013,Classe 1,Diesel,Usados,8072926213,Opel,95 cv,203 000 km,Citadino,Manual,Nacional,,,
906,2007,,Gasolina,Usados,8075629361,Opel,80 cv,160 791 km,Citadino,Manual,,,,
907,2006,Classe 1,Gasolina,Usados,8074238238,Mitsubishi,70 cv,154 000 km,Citadino,Manual,Nacional,,Sim,
908,2019,Classe 1,Gasolina,Usados,8073269365,Nissan,100 cv,123 km,Citadino,Manual,Nacional,,Sim,
909,2016,Classe 1,Diesel,Usados,8075591008,MINI,95 cv,126 000 km,Citadino,Manual,Importado,00-00-00,Sim,
910,2017,,Diesel,Usados,8073909027,SEAT,115 cv,129 695 km,Carrinha,Manual,Nacional,57-TO-56,Sim,
911,2017,Classe 1,Diesel,Usados,8074305806,Renault,110 cv,49 000 km,Carrinha,Automática,Nacional,,,
912,2011,,Diesel,Usados,8074311490,BMW,143 cv,187 000 km,Coupé,Manual,Importado,00-00-00,Sim,Série 1
913,1997,Classe 1,Diesel,Usados,8058179932,Mercedes-Benz,95 cv,350 000 km,Sedan,Manual,Nacional,,Sim,Classe E
914,2000,Classe 1,Gasolina,Usados,8075630245,SEAT,101 cv,140 113 km,Citadino,Manual,Nacional,00-00-00,,
915,2015,Classe 1,Diesel,Usados,8075591016,Peugeot,120 cv,130 730 km,SUV / TT,Manual,Importado,00-00-00,Sim,
916,2015,,Diesel,Usados,8063237495,Renault,90 cv,113 941 km,Carrinha,Manual,Nacional,29-PZ-99,Sim,
917,2008,Classe 1,Gasolina,Usados,8064843314,Honda,80 cv,154 000 km,Citadino,Manual,Nacional,,,
918,2014,Classe 1,Diesel,Usados,8071240167,Peugeot,120 cv,168 109 km,Carrinha,Manual,,00-AA-00,Sim,
919,2019,,Híbrido (Gasolina),Usados,8069746495,MINI,224 cv,13 669 km,Utilitário,Automática,,,Sim,
920,2015,Classe 1,Diesel,Usados,8071240019,Opel,110 cv,157 901 km,Carrinha,Manual,,44-ZA-04,Sim,
921,2014,Classe 1,Diesel,Usados,8073117328,Mercedes-Benz,204 cv,98 814 km,Carrinha,Automática,Nacional,,,Classe CLS
922,2018,Classe 1,Diesel,Usados,8073117687,Opel,134 cv,16 056 km,Monovolume,Manual,Nacional,,,
923,2019,Classe 1,Gasolina,Usados,8074311951,MINI,136 cv,4 527 km,Citadino,Automática,,,Sim,
